title,author,genres
The First Part Last Michael L Printz Award  Winner,"Johnson, Angela","['Young Adult', 'Realistic Fiction', 'Fiction', 'Teen', 'Contemporary', 'African American', 'Coming Of Age']"
Monkey The Journey to the West,Wu Cheng'en,"['Classics', 'Fiction', 'Fantasy', 'China', 'Mythology', 'Chinese Literature', 'Asia']"
The Gift Witch  Wizard 2,"Patterson, James *","['Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Magic', 'Paranormal', 'Adventure']"
Clockwork Prince The Infernal Devices 2,"Clare, Cassandra *","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy']"
The Emperors Edge The Emperors Edge 1,"Buroker, Lindsay *","['Fantasy', 'Steampunk', 'Adventure', 'Fiction', 'Mystery', 'Magic', 'Romance']"
The Age of Reason Roads to Freedom 1,"Sartre, Jean-Paul","['Philosophy', 'Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']"
Comet in Moominland The Moomins 2,"Jansson, Tove","['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']"
Epic Epic 1,"Kostick, Conor *","['Fantasy', 'Science Fiction', 'Young Adult', 'Dystopia', 'Fiction', 'Adventure', 'Teen']"
Dragons of Autumn Twilight Dragonlance Chronicles 1,"Weis, Margaret","['Fantasy', 'Dragonlance', 'Fiction', 'Dragons', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']"
A Dog Called Kitty,"Wallace, Bill","['Fiction', 'Animals', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Young Adult', 'Dogs']"
The Rage Forgotten Realms The Year of Rogue Dragons 1,"Byers, Richard Lee *","['Forgotten Realms', 'Fantasy', 'Fiction', 'Dungeons and Dragons', 'Dragons', 'Science Fiction Fantasy', 'High Fantasy']"
Day of the Dragon WarCraft 1,"Knaak, Richard A. *","['Fantasy', 'Warcraft', 'Fiction', 'World Of Warcraft', 'Video Games', 'Dragons', 'High Fantasy']"
30 Pieces of Silver Betrayed 1,"McCray, Carolyn *","['Thriller', 'Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Suspense', 'Adventure']"
Dragon Rider Dragon Rider 1,"Funke, Cornelia *","['Fantasy', 'Dragons', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure']"
The Sea of Trolls Sea of Trolls 1,"Farmer, Nancy *","['Fantasy', 'Young Adult', 'Fiction', 'Mythology', 'Historical Fiction', 'Adventure', 'Middle Grade']"
The Secret Crusade Assassins Creed 3,"Bowden, Oliver","['Fantasy', 'Historical Fiction', 'Fiction', 'Adventure', 'Video Games', 'Historical', 'Science Fiction']"
Dearly Departed Gone With the Respiration 1,"Habel, Lia *","['Young Adult', 'Zombies', 'Steampunk', 'Romance', 'Fantasy', 'Paranormal', 'Dystopia']"
Dark Souls,"Morris, Paula","['Young Adult', 'Paranormal', 'Ghosts', 'Mystery', 'Fantasy', 'Romance', 'Horror']"
The Single Girls ToDo List,"Kelk, Lindsey *","['Chick Lit', 'Romance', 'Contemporary', 'Fiction', 'Adult', 'Humor', 'Contemporary Romance']"
Youth in Revolt The Journals of Nick Twisp Book One,"Payne, C.D.","['Fiction', 'Young Adult', 'Humor', 'Coming Of Age', 'Comedy', 'Contemporary', 'Romance']"
The Golden Acorn The Adventures of Jack Brenin 1,"Cooper, Catherine","['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Childrens', 'Middle Grade', 'Magic']"
It Started With A Kiss,"Dickinson, Miranda","['Chick Lit', 'Christmas', 'Romance', 'Contemporary', 'Holiday', 'Fiction', 'Contemporary Romance']"
A Touch of Crimson Renegade Angels 1,"Day, Sylvia *","['Paranormal', 'Paranormal Romance', 'Romance', 'Angels', 'Vampires', 'Fantasy', 'Urban Fantasy']"
Wayside School Is Falling Down Wayside School 2,"Sachar, Louis *","['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']"
The Secret War Jack Blank Adventure 2,"Myklusch, Matt *","['Fantasy', 'Science Fiction', 'Middle Grade', 'Adventure', 'Fiction', 'Young Adult', 'Superheroes']"
The Train,"Simenon, Georges","['Fiction', 'Historical Fiction', 'France', 'World War II', 'War', 'Novels', 'Mystery']"
The Bachelor of Arts,"Narayan, R.K.","['Fiction', 'India', 'Indian Literature', 'Classics', 'Humor', 'Novels', 'Literature']"
A Long Way Down,"Hornby, Nick","['Fiction', 'Contemporary', 'Humor', 'Novels', 'British Literature', 'Adult Fiction', 'Adult']"
Tinker Tailor Soldier Spy George Smiley 5 Karla Trilogy 1,"le Carré, John","['Fiction', 'Mystery', 'Thriller', 'Espionage', 'Classics', 'Mystery Thriller', 'Crime']"
His Dark Materials Trilogy The Golden Compass  The Subtle Knife  The Amber Spyglass,"Pullman, Philip","['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Classics']"
The Deep,"Dunmore, Helen","['Fantasy', 'Mermaids', 'Young Adult', 'Fiction', 'Adventure', 'Childrens', 'Middle Grade']"
The Long Ships New York Review Books Classics,"Bengtsson, Frans G.","['Historical Fiction', 'Fiction', 'Adventure', 'Classics', 'Historical', 'Fantasy', 'Sweden']"
HIVE Higher Institute of Villainous Education HIVE 1,"Walden, Mark *","['Young Adult', 'Science Fiction', 'Adventure', 'Fiction', 'Fantasy', 'Middle Grade', 'Action']"
The Crime of Father Amaro,"Queirós, Eça de","['Classics', 'Fiction', 'Portugal', 'Portuguese Literature', 'Romance', 'Historical Fiction', 'Literature']"
Snake Skin Lucy Guardino FBI Thriller 1,"Lyons, C.J. *","['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Romantic Suspense']"
A Very Special Delivery Tiny Blessings 8,"Goodnight, Linda *","['Romance', 'Christian Fiction', 'Fiction', 'Contemporary Romance', 'Christian', 'Love Inspired', 'Harlequin']"
Mary Queen of Scots Queen Without a Country,"Lasky, Kathryn","['Historical Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Fiction', 'Childrens', 'Diary']"
The Lion the Witch and the Wardrobe Chronicles of Narnia 1,"Lewis, C.S.","['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']"
Perelandra The Space Trilogy 2,"Lewis, C.S.","['Science Fiction', 'Fiction', 'Fantasy', 'Christian', 'Classics', 'Christian Fiction', 'Science Fiction Fantasy']"
Flesh Eaters Dead World 3,"McKinney, Joe *","['Horror', 'Zombies', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Thriller', 'Novels']"
The Intruders Jake Grafton 2,"Coonts, Stephen","['Fiction', 'Thriller', 'Military Fiction', 'Adventure', 'Action', 'War', 'Aviation']"
SilverTongued Devil Sabina Kane 4,"Wells, Jaye *","['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Magic', 'Romance', 'Demons']"
Chanakyas Chant,"Sanghi, Ashwin *","['Fiction', 'Historical Fiction', 'Indian Literature', 'Thriller', 'India', 'Mythology', 'Politics']"
Petticoat Ranch Lassoed in Texas 1,"Connealy, Mary *","['Christian Fiction', 'Romance', 'Historical Fiction', 'Christian', 'Westerns', 'Historical', 'Christian Romance']"
White Jazz LA Quartet 4,"Ellroy, James","['Crime', 'Fiction', 'Mystery', 'Noir', 'Thriller', 'Historical Fiction', 'Detective']"
The Last Wife of Henry VIII,"Erickson, Carolly","['Historical Fiction', 'Fiction', 'Historical', 'Tudor Period', 'British Literature', 'Romance', '16th Century']"
Viking Warrior The Strongbow Saga 1,"Roberts, Judson","['Historical Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Historical', 'Adventure', 'Medieval']"
The Autobiography of Henry VIII With Notes by His Fool Will Somers,"George, Margaret *","['Historical Fiction', 'Fiction', 'Historical', 'Tudor Period', 'British Literature', '16th Century', 'Medieval']"
Fated Love A PMC Hospital Romance 1,Radclyffe,"['Romance', 'Lesbian', 'LGBT', 'Lesbian Romance', 'Medical', 'Lesbian Fiction', 'Fiction']"
The Devil All the Time,"Pollock, Donald Ray","['Horror', 'Fiction', 'Thriller', 'Historical Fiction', 'Crime', 'Mystery', 'Southern Gothic']"
Unlucky,"Deleon, Jana *","['Mystery', 'Romance', 'Contemporary Romance', 'Cozy Mystery', 'Contemporary', 'Chick Lit', 'Humor']"
Stonehenge,"Cornwell, Bernard *","['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'British Literature', 'Prehistory', 'Adventure']"
The Famished Road,"Okri, Ben","['Fiction', 'Africa', 'Magical Realism', 'Fantasy', 'Nigeria', 'African Literature', 'Literary Fiction']"
Helen of Troy,"George, Margaret *","['Historical Fiction', 'Mythology', 'Fiction', 'Historical', 'Greek Mythology', 'Romance', 'Fantasy']"
The Long Game The Long Game 1,"Armas, Elena *","['Romance', 'Contemporary', 'Sports Romance', 'Sports', 'Contemporary Romance', 'Fiction', 'Adult']"
The Memoirs of Cleopatra,"George, Margaret *","['Historical Fiction', 'Fiction', 'Historical', 'Egypt', 'Romance', 'Adult', 'Africa']"
Mister B Gone,"Barker, Clive *","['Horror', 'Fantasy', 'Fiction', 'Demons', 'Supernatural', 'Historical Fiction', 'Dark Fantasy']"
Seduction of a Highland Lass McCabe Trilogy 2,"Banks, Maya *","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Adult', 'Medieval', 'Scotland']"
Carol,"Highsmith, Patricia","['Fiction', 'LGBT', 'Romance', 'Queer', 'Classics', 'Lesbian', 'Historical Fiction']"
Spellbound Spellbound 1,"Shultz, Cara Lynn *","['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Witches', 'Magic', 'Paranormal Romance']"
The Circle Trilogy The Circle Trilogy 13,"Roberts, Nora *","['Romance', 'Fantasy', 'Paranormal Romance', 'Fiction', 'Vampires', 'Paranormal', 'Magic']"
Mildred Pierce,"Cain, James M.","['Fiction', 'Classics', 'Noir', 'Mystery', 'Historical Fiction', 'Crime', 'Novels']"
Highland Legacy Four Generations of Love are Rooted in Scotland,"Bateman, Tracey Victoria","['Romance', 'Christian Fiction', 'Christian', 'Historical Fiction', 'Fiction', 'Historical', 'Scotland']"
Shiver Trilogy Boxset The Wolves of Mercy Falls 13,"Stiefvater, Maggie *","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Werewolves', 'Wolves', 'Paranormal Romance']"
The Third Deadly Sin Deadly Sins 4,"Sanders, Lawrence","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Detective', 'Mystery Thriller']"
Whispering to Witches,"Dale, Anna","['Fantasy', 'Middle Grade', 'Magic', 'Witches', 'Fiction', 'Childrens', 'Young Adult']"
Laguna Cove,"Noel, Alyson *","['Young Adult', 'Romance', 'Chick Lit', 'Contemporary', 'High School', 'Young Adult Romance', 'Realistic Fiction']"
No Mans Mistress Mistress Trilogy 2,"Balogh, Mary","['Romance', 'Historical Romance', 'Historical', 'Regency', 'Historical Fiction', 'Fiction', 'Regency Romance']"
Mistress Pat Pat 2,"Montgomery, L.M.","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Historical', 'Childrens']"
The Reader,"Schlink, Bernhard","['Fiction', 'Historical Fiction', 'Classics', 'German Literature', 'Romance', 'Holocaust', 'Historical']"
Remainder,"McCarthy, Tom","['Fiction', 'Novels', 'Literature', 'Literary Fiction', 'Contemporary', 'British Literature', '21st Century']"
Ranah 3 Warna,"Fuadi, Ahmad *","['Novels', 'Fiction', 'Indonesian Literature', 'Inspirational', 'Islam', 'Slice Of Life', 'Religion']"
Cradle,"Clarke, Arthur C.","['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Adventure', 'Space', 'Novels', 'Adult']"
Those in Peril Hector Cross 1,"Smith, Wilbur","['Fiction', 'Thriller', 'Adventure', 'Action', 'Historical Fiction', 'Africa', 'Mystery']"
Gabriels Inferno Gabriels Inferno 1,"Reynard, Sylvain *","['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Adult', 'New Adult', 'Fiction']"
Flesh and Blood,"Cunningham, Michael *","['Fiction', 'LGBT', 'Contemporary', 'Gay', 'Family', 'Literature', 'Literary Fiction']"
Curiosity Killed the Cat Poison Apple 7,"Harimann, Sierra","['Childrens', 'Mystery', 'Middle Grade', 'Fantasy', 'Fiction', 'Horror', 'Paranormal']"
The Family Fang,"Wilson, Kevin *","['Fiction', 'Humor', 'Contemporary', 'Art', 'Literary Fiction', 'Family', 'Adult Fiction']"
Nectar in a Sieve,"Markandaya, Kamala","['Fiction', 'Classics', 'India', 'Historical Fiction', 'School', 'Read For School', 'Indian Literature']"
Striking the Balance Worldwar 4,"Turtledove, Harry","['Alternate History', 'Science Fiction', 'Fiction', 'Historical Fiction', 'War', 'Military Fiction', 'Fantasy']"
Tilting the Balance Worldwar 2,"Turtledove, Harry","['Alternate History', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Fantasy', 'War', 'Military Fiction']"
I Am Grimalkin The Last Apprentice  Wardstone Chronicles 9,"Delaney, Joseph","['Fantasy', 'Young Adult', 'Horror', 'Fiction', 'Paranormal', 'Witches', 'Magic']"
Upsetting the Balance Worldwar 3,"Turtledove, Harry","['Alternate History', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Military Fiction', 'War', 'Fantasy']"
The Gray and Guilty Sea Garrison Gage 1,"Carter, Scott William *","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Amazon', 'Suspense']"
The Guns of the South,"Turtledove, Harry","['Alternate History', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Time Travel', 'Civil War', 'Fantasy']"
The Mystery of the Laughing Shadow Alfred Hitchcock and the Three Investigators 12,"Arden, William","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Detective', 'Adventure', 'Crime']"
Snug as a Bug Level 1 I Can Read,"Imbody, Amy",['Childrens']
Quintana of Charyn Lumatere Chronicles 3,"Marchetta, Melina *","['Fantasy', 'Young Adult', 'Romance', 'High Fantasy', 'Fiction', 'Young Adult Fantasy', 'Adventure']"
Codex 632 Toms Noronha 1,"Rodrigues dos Santos, José","['Fiction', 'Historical Fiction', 'Thriller', 'Romance', 'Mystery', 'Portuguese Literature', 'Historical']"
Stolen Beginnings,"Lewis, Susan","['Romance', 'Fiction']"
Sisters of the Sari,"Baker, Brenda L. *","['Fiction', 'India', 'Asia', 'International']"
Blood Sisters,"Keating, Barbara","['Africa', 'Fiction', 'Historical Fiction', 'Kenya', 'Romance', 'Historical', 'Novels']"
Never Knowing,"Stevens, Chevy *","['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Adult Fiction']"
I Thirst for You Primes 2,"Sizemore, Susan","['Paranormal', 'Paranormal Romance', 'Vampires', 'Romance', 'Fiction', 'Fantasy', 'Adult']"
Glow Sky Chasers 1,"Ryan, Amy Kathleen *","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space']"
Bigger than a Bread Box,"Snyder, Laurel *","['Young Adult', 'Fiction', 'Middle Grade', 'Juvenile', 'Contemporary', 'Childrens', 'School']"
Iron Sunrise Eschaton 2,"Stross, Charles *","['Science Fiction', 'Fiction', 'Space Opera', 'Singularity', 'Cyberpunk', 'Hard Science Fiction', 'Speculative Fiction']"
The Atrocity Archives Laundry Files 1,"Stross, Charles *","['Science Fiction', 'Fantasy', 'Horror', 'Fiction', 'Urban Fantasy', 'Humor', 'Lovecraftian']"
Vinegar Hill,"Ansay, A. Manette","['Fiction', 'Historical Fiction', 'Contemporary', 'Adult Fiction', 'Literary Fiction', 'Family', 'Novels']"
Red is for Remembrance Blue is for Nightmares 4,"Stolarz, Laurie Faria *","['Young Adult', 'Fantasy', 'Paranormal', 'Magic', 'Witches', 'Mystery', 'Romance']"
A Place of Greater Safety,"Mantel, Hilary","['Historical Fiction', 'Fiction', 'France', 'Historical', 'French Revolution', 'Literature', 'Literary Fiction']"
Beyond Black,"Mantel, Hilary","['Fiction', 'Fantasy', 'Horror', 'Contemporary', 'Literary Fiction', 'Novels', 'Ghosts']"
Outpost Razorland 2,"Aguirre, Ann *","['Dystopia', 'Young Adult', 'Zombies', 'Post Apocalyptic', 'Science Fiction', 'Fantasy', 'Romance']"
The Blue Bedspread,"Jha, Raj Kamal","['India', 'Fiction', 'Indian Literature', 'Asia', 'Romance', 'Novels', 'Literary Fiction']"
Shadow and Bone The Shadow and Bone Trilogy 1,"Bardugo, Leigh *","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Magic', 'High Fantasy']"
Storybound Storybound 1,"Burt, Marissa *","['Fantasy', 'Middle Grade', 'Young Adult', 'Fairy Tales', 'Fiction', 'Childrens', 'Adventure']"
Miss Timmins School for Girls,"Currimbhoy, Nayana *","['Mystery', 'Fiction', 'India', 'Historical Fiction', 'LGBT', 'Historical', 'Boarding School']"
Pushing the Limits Pushing the Limits 1,"McGarry, Katie","['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Contemporary Romance', 'High School', 'Realistic Fiction']"
Ditched A Love Story,"Mellom, Robin *","['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Chick Lit', 'Teen', 'High School']"
Outpost Outpost 1,"Baker, Adam","['Horror', 'Zombies', 'Fiction', 'Post Apocalyptic', 'Science Fiction', 'Apocalyptic', 'Thriller']"
Nights Child Wicca 15,"Tiernan, Cate","['Young Adult', 'Fantasy', 'Witches', 'Paranormal', 'Magic', 'Romance', 'Fiction']"
My Soul to Keep,"Due, Tananarive *","['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Science Fiction']"
Ascend Trylle 3,"Hocking, Amanda *","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Paranormal Romance', 'Fiction', 'Magic']"
Boy Overboard,"Gleitzman, Morris","['Childrens', 'Fiction', 'School', 'Young Adult', 'Middle Grade', 'Read For School', 'Adventure']"
The Search Lancaster County Secrets 3,"Fisher, Suzanne Woods *","['Amish', 'Christian Fiction', 'Amish Fiction', 'Romance', 'Fiction', 'Christian', 'Christian Romance']"
Likely To Die Alexandra Cooper 2,"Fairstein, Linda *","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Suspense', 'Legal Thriller']"
Samedi the Deafness,"Ball, Jesse *","['Fiction', 'Mystery', 'Novels', 'Literary Fiction', 'Speculative Fiction', 'Thriller', 'Contemporary']"
The Night Strangers,"Bohjalian, Chris *","['Horror', 'Fiction', 'Mystery', 'Paranormal', 'Thriller', 'Ghosts', 'Suspense']"
Jane Eyre,"Brontë, Charlotte","['Fiction', 'Classics', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'School']"
Something Like Summer Something Like 1,"Bell, Jay *","['M M Romance', 'LGBT', 'Romance', 'Young Adult', 'Contemporary', 'Gay', 'Queer']"
The Immortal Rules Blood of Eden 1,"Kagawa, Julie *","['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Dystopia', 'Romance', 'Urban Fantasy']"
Death Bringer Skulduggery Pleasant 6,"Landy, Derek","['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Magic', 'Mystery', 'Adventure']"
The Far Pavilions,"Kaye, M.M.","['Historical Fiction', 'Fiction', 'India', 'Romance', 'Historical', 'Classics', 'Adventure']"
Song in the Silence The Tale of Lanen Kaelar 1,"Kerner, Elizabeth","['Fantasy', 'Dragons', 'Romance', 'High Fantasy', 'Fiction', 'Magic', 'Epic Fantasy']"
MILA 20 MILA 20 1,"Driza, Debra *","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Thriller']"
Renegade MILA 20 2,"Driza, Debra *","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fiction', 'Fantasy', 'Thriller']"
The Summer Without Men,"Hustvedt, Siri","['Fiction', 'Contemporary', 'Feminism', 'Literary Fiction', 'The United States Of America', 'American', 'Novels']"
The Colour,"Tremain, Rose","['Historical Fiction', 'Fiction', 'Historical', 'Literary Fiction', 'British Literature', 'Womens', 'Contemporary']"
Playing with Fire Tales of an Extraordinary Girl 1,"Showalter, Gena *","['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Magic', 'Adult']"
Ingo,"Dunmore, Helen","['Fantasy', 'Mermaids', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens']"
The Ladies of Mandrigyn Sun Wolf and Starhawk No 1,"Hambly, Barbara *","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'Epic Fantasy', 'Sword and Sorcery', 'Adventure']"
The Elric Saga Part II Elric Saga 46,"Moorcock, Michael","['Fantasy', 'Fiction', 'Sword and Sorcery', 'Science Fiction Fantasy', 'Epic Fantasy', 'Science Fiction', 'Classics']"
N or M Tommy  Tuppence Mysteries 3,"Christie, Agatha","['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Thriller']"
Armor,"Steakley, John","['Science Fiction', 'Fiction', 'Military Fiction', 'War', 'Fantasy', 'Military Science Fiction', 'Science Fiction Fantasy']"
The Key to the Golden Firebird,"Johnson, Maureen *","['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Teen', 'Young Adult Contemporary']"
Iris  Ruby,"Thomas, Rosie","['Fiction', 'Historical Fiction', 'Egypt', 'Contemporary', 'Romance', 'Chick Lit', 'War']"
Disney in Shadow Kingdom Keepers 3,"Pearson, Ridley","['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Mystery', 'Science Fiction']"
The Ritual,"Nevill, Adam *","['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Paranormal', 'Supernatural', 'Mystery']"
Rainbows End,"Vinge, Vernor","['Science Fiction', 'Fiction', 'Hugo Awards', 'Cyberpunk', 'Science Fiction Fantasy', 'Speculative Fiction', 'Fantasy']"
Like a Hole in the Head,"Chase, James Hadley","['Thriller', 'Fiction', 'Crime', 'Novels']"
A Boys Own Story The Edmund Trilogy 1,"White, Edmund","['Fiction', 'LGBT', 'Queer', 'Gay', 'Classics', 'Coming Of Age', 'Novels']"
Football Genius Football Genius 1,"Green, Tim *","['Sports', 'Realistic Fiction', 'Football', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade']"
Shipwreck Island 1,"Korman, Gordon","['Adventure', 'Fiction', 'Young Adult', 'Middle Grade', 'Realistic Fiction', 'Survival', 'Childrens']"
Schooled,"Korman, Gordon","['Young Adult', 'Realistic Fiction', 'Fiction', 'Middle Grade', 'Humor', 'School', 'Childrens']"
Shes All That Spa Girls 1,"Billerbeck, Kristin *","['Chick Lit', 'Christian Fiction', 'Christian', 'Fiction', 'Romance', 'Humor', 'Contemporary']"
Mistborn Trilogy Mistborn 13,"Sanderson, Brandon *","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'Magic', 'High Fantasy', 'Science Fiction']"
Why Mermaids Sing Sebastian St Cyr 3,"Harris, C.S. *","['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'Fiction', 'Regency', 'Romance']"
The List Finding Love Was the Last Thing on Her List,"Jacobson, Melanie *","['Romance', 'Lds Fiction', 'Lds', 'Fiction', 'Chick Lit', 'Contemporary', 'Clean Romance']"
Catilinas Riddle Roma Sub Rosa 3,"Saylor, Steven","['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Roman']"
A Long Long Sleep UniCorp 1,"Sheehan, Anna *","['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Retellings', 'Fairy Tales']"
Roman Blood Roma Sub Rosa 1,"Saylor, Steven","['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Roman']"
Too Close For Comfort Knight  Culverhouse 1,"Croft, Adam *","['Mystery', 'Crime', 'Fiction', 'Thriller', 'Detective', 'Mystery Thriller', 'Amazon']"
Darkover First Contact Darkover Omnibus 6,"Bradley, Marion Zimmer","['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Paranormal', 'Epic Fantasy', 'Classics']"
I Pledge Allegiance Vietnam 1,"Lynch, Chris","['Historical Fiction', 'Young Adult', 'War', 'Historical', 'Fiction', 'Military Fiction', 'Realistic Fiction']"
Pie,"Weeks, Sarah","['Mystery', 'Middle Grade', 'Realistic Fiction', 'Childrens', 'Fiction', 'Historical Fiction', 'Juvenile']"
Little Scarlet Easy Rawlins 9,"Mosley, Walter","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'African American', 'Historical Fiction', 'Detective']"
When No One is Watching,"Hayes, Joseph *","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Amazon', 'Drama']"
The Scarlet Letterman Bard Academy 2,"Lockwood, Cara *","['Young Adult', 'Fantasy', 'Paranormal', 'Supernatural', 'Fiction', 'Mystery', 'Romance']"
Scarlet Sister Mary,"Peterkin, Julia","['Fiction', 'Classics', 'Historical Fiction', 'Literary Fiction', 'Race', 'Literature', 'American']"
The Hunter Victor the Assassin 1,"Wood, Tom *","['Thriller', 'Fiction', 'Action', 'Mystery', 'Crime', 'Espionage', 'Mystery Thriller']"
Providence Providence 1,"McGuire, Jamie *","['Paranormal', 'Romance', 'Fantasy', 'Angels', 'Young Adult', 'New Adult', 'Paranormal Romance']"
