title,author,answer,citation
Harry Potter and the Methods of Rationality,"Yudkowsky, Eliezer","[1, ""Hermione Granger""]","['https://hpmor.com/a-rant-thereof/', 'https://www.stormingtheivorytower.com/2013/08/hermione-granger-versus-methods-of.html', 'https://theadventureisafoot.wordpress.com/2015/04/29/celebrating-female-characters-harry-potter-and-the-inspiring-witches-of-literature/', 'https://www.greaterwrong.com/posts/4hKoG4e248yuXtG47/harry-potter-and-the-methods-of-rationality-discussion-23/comment/8d3EpisdwRFopFio7', 'https://www.lesswrong.com/posts/smKK6yrKBehxvQq5i/harry-potter-and-the-methods-of-rationality-discussion-26']"
Summer of Love,"Fforde, Katie","[1, ""Sian Bishop""]","['https://mariesbookboutique.wordpress.com/2018/06/02/book-review-on-summer-of-love-by-katie-fforde/', 'https://reabookreview.blogspot.com/2012/03/summer-of-love-by-katie-fforde.html', 'https://www.penguin.co.uk/books/406919/summer-of-love-by-fforde-katie/9780099539148', 'https://app.thestorygraph.com/book_reviews/47036867-7e18-4bf5-a8ca-0ae3c917260d?page=4', 'https://boofsbooks.wordpress.com/2011/05/25/book-review-summer-of-love-and-other-books-by-katie-fforde/']"
The First Part Last Michael L Printz Award  Winner,"Johnson, Angela","[1, ""Nia""]","['https://www.ebsco.com/research-starters/literature-and-writing/first-part-last-and-heaven-angela-johnson', 'https://en.wikipedia.org/wiki/The_First_Part_Last', 'https://www.supersummary.com/the-first-part-last/summary/', 'https://www.goodreads.com/book/show/6948949', 'https://www.simonandschuster.com/books/The-First-Part-Last/Angela-Johnson/9781442403437']"
Monkey The Journey to the West,Wu Cheng'en,"[0, """"]","['https://en.wikipedia.org/wiki/List_of_Journey_to_the_West_characters', 'https://drpress.org/ojs/index.php/EHSS/article/view/13180', 'https://www.behindthevoiceactors.com/characters/Journey-to-the-West/', 'https://en.wikipedia.org/wiki/Journey_to_the_West', 'https://www.atlantis-press.com/article/125911124.pdf']"
The Gift Witch  Wizard 2,"Patterson, James","[1, ""Wisteria 'Wisty' Allgood""]","['https://www.goodreads.com/book/show/7646805-the-gift', 'https://en.wikipedia.org/wiki/Witch_&_Wizard_(series)', 'https://www.barnesandnoble.com/w/the-gift-james-patterson/1100293040', 'https://www.pluggedin.com/book-reviews/gift/', 'https://www.jamespatterson.com/titles/james-patterson/the-gift/9780316036252/']"
Clockwork Prince The Infernal Devices 2,"Clare, Cassandra","[1, ""Tessa Gray""]","['https://ecmock.blogspot.com/2011/12/review-clock-prince-infernal-devices-2.html', 'https://nickomocanureviews.wordpress.com/2016/10/08/infernal-devices-2-clockwork-prince-by-cassandra-clare/', 'https://thebooksareeverywhere.com/2018/12/27/review-clockwork-prince-2-by-cassandra-clare/', 'https://www.goodreads.com/book/show/29356073-clockwork-prince', 'https://forthenovellovers.wordpress.com/2020/12/20/clockwork-prince-the-infernal-devices-2-by-cassandra-clare/']"
The Emperors Edge The Emperors Edge 1,"Buroker, Lindsay","[1, ""Amaranthe Lokdon""]","['https://smartbitchestrashybooks.com/reviews/the-emperors-edge-by-lindsay-buroker-a-guest-review-by-anonymiss/', 'https://beanuplate.wordpress.com/2013/09/04/the-emperors-edge-by-lindsay-buroker/', 'https://germmagazine.com/review-the-emperors-edge-by-lindsay-buroker/', 'https://www.goodreads.com/book/show/10091901', 'https://sfbook.com/the-emperors-edge.htm']"
The Age of Reason Roads to Freedom 1,"Sartre, Jean-Paul","[0, """"]","['https://www.goodreads.com/cs/book/show/10034.The_Age_of_Reason', 'https://www.goodreads.com/book/similar/230378-l-ge-de-raison', 'https://preserap.edu.pl/igmdnogkq/', 'https://ovpasyn.edu.pl/caubarduven/', 'https://emacromall.com/category/books-table.html']"
Comet in Moominland The Moomins 2,"Jansson, Tove","[1, ""Moominmamma""]","['https://en.wikipedia.org/wiki/List_of_Moomin_characters', 'https://rex.libraries.wsu.edu/view/fileRedirect?instCode=01ALLIANCE_WSU&filePid=13332907990001842&download=true', 'https://en.wikipedia.org/wiki/Moomins', 'https://www.goodreads.com/book/show/23311406-comet-in-moominland', 'https://goodreads.com/book/show/1003725.Comet_in_Moominland__The_Moomins___2_']"
Epic Epic 1,"Kostick, Conor","[0, """"]","['https://www.goodreads.com/book/show/1003985', 'https://neverseenanevergreen.wordpress.com/2016/01/31/review-epic-by-conor-kostick/', 'https://en.wikipedia.org/wiki/Epic_(novel)', 'https://obrien.ie/childrens/asset/3305/1/GuideEpic.pdf', 'https://newbookrecommendation.com/summary-of-epic-by-conor-kostick-a-detailed-synopsis/']"
Dragons of Autumn Twilight Dragonlance Chronicles 1,"Weis, Margaret","[1, ""Goldmoon""]","['https://comicvine.gamespot.com/dragonlance-chronicles-dragons-of-autumn-twilight/4050-80743/characters/', 'https://en.wikipedia.org/wiki/List_of_Dragonlance_characters', 'https://en.wikipedia.org/wiki/Dragons_of_Autumn_Twilight', 'https://fantasy-faction.com/2018/dragons-of-autumn-twilight-by-margaret-weis-and-tracy-hickman', 'https://www.imdb.com/title/tt0825245/']"
A Dog Called Kitty,"Wallace, Bill","[0, """"]","['http://alcorta5420.blogspot.com/2011/10/module-7.html', 'https://www.barnesandnoble.com/w/dog-called-kitty-bill-wallace/1001923511', 'https://ftp.aflegal.org/textbooks/browse/HomePages/a_dog_called_kitty.pdf', 'https://prezi.com/obpupfozmxgv/a-dog-called-kitty/', 'https://www.teacherspayteachers.com/browse?search=a+dog+called+kitty']"
The Rage Forgotten Realms The Year of Rogue Dragons 1,"Byers, Richard Lee","[1, ""Kara""]","['https://www.barnesandnoble.com/w/the-rage-richard-lee-byers/1100991957', 'https://books.galacticjunk.com/!fantasy/!Fantasy%20E-Book%20Collection/Forgotten%20Realms/Year%20of%20Rogue%20Dragons/The%20Year%20of%20the%20Rogue%20Dragons%201%20-%20The%20Rage.pdf', 'https://salfane.weebly.com/adventures-in-ink/the-year-of-rogue-dragons', 'https://www.goodreads.com/book/show/8869577-the-year-of-rogue-dragons']"
Day of the Dragon WarCraft 1,"Knaak, Richard A.","[1, ""Vereesa""]","['https://lintian.eu/2024/02/11/warcraft-retrospective-14/', 'https://www.mmo-champion.com/threads/2392188-Never-understood-why-people-heavily-dislike-Richard-Knaak', 'https://www.goodreads.com/book/show/7017425', 'https://www.mmo-champion.com/threads/1161221-The-name-Knaak-is-now-a-derogatory-term', 'https://public.ds003.info/wcbooks/novels/Warcraft%20-%20(2001)%20Day%20Of%20The%20Dragon%20-%20Richard%20A.%20Knaak.pdf']"
30 Pieces of Silver Betrayed 1,"McCray, Carolyn","[1, ""Rebecca Monroe""]","['https://www.idcrawl.com/carolyn-mccray', 'https://www.goodreads.com/book/show/15096342-30-pieces-of-silver', 'https://thebookfetishblog.com/2011/03/thirty-pieces-of-silver/', 'https://files.eric.ed.gov/fulltext/ED299570.pdf', 'https://carolyn-mccray.freenovelread.com/page,5,138379-my_soul_to_keep']"
Dragon Rider Dragon Rider 1,"Funke, Cornelia","[1, ""Sorrel""]","['https://corneliafunke.com/en/world/dragon-rider', 'https://meggieandmo.com/dragon-rider/', 'https://en.wikipedia.org/wiki/Dragon_Rider_(novel)', 'https://www.abeautifulbookshelf.com/dragon-rider/', 'https://foreveryoungadult.com/book-report/dragon-rider-cornelia-funke/']"
The Sea of Trolls Sea of Trolls 1,"Farmer, Nancy","[1, ""Thorgil""]","['https://en.wikipedia.org/wiki/The_Sea_of_Trolls', 'https://www.goodreads.com/book/show/100476', 'https://www.adlit.org/books-and-authors/reading-discussion-guides/sea-trolls-nancy-farmer', 'https://app.thestorygraph.com/book_reviews/33cbfd27-32aa-4c5c-878a-d75760a29521?page=13', 'https://parents.simonandschuster.com/9781481443081']"
The Secret Crusade Assassins Creed 3,"Bowden, Oliver","[1, ""Maria""]","[""https://en.wikipedia.org/wiki/List_of_Assassin's_Creed_characters"", 'https://www.goodreads.com/book/show/10048834-the-secret-crusade', 'http://acfansiteabstergo.weebly.com/character-bios.html', 'https://onceuponabook.home.blog/wp-content/uploads/2019/01/the-secret-crusade-oliver-bowden.pdf', 'https://ghosttheassassin.wordpress.com/assassins-creed-the-secret-crusade-by-oliver-bowden-and-published-by-penguin-books/']"
Dearly Departed Gone With the Respiration 1,"Habel, Lia","[1, ""Nora Dearly""]","['https://www.goodreads.com/book/show/10048874-dearly-departed', 'https://www.goodreads.com/book/show/9199346-dearly-departed', 'https://yabookscentral.com/dearly-departed/reviews/?rating=4', 'https://yabookscentral.com/dearly-departed/discussions/32597/', 'https://app.thestorygraph.com/book_reviews/32438b60-1248-47e2-a69c-c3419fc14be7?page=15']"
Dark Souls,"Morris, Paula","[1, ""Miranda""]","['https://bookbrief.io/books/dark-souls-paula-morris/character-analysis', 'https://misclisa.blogspot.com/2012/04/dark-souls-by-paula-morris.html', 'https://annettesbookspot.blogspot.com/2011/11/book-review-dark-souls-by-paula-morris.html', 'https://horroraddicts.wordpress.com/2014/12/18/review-dark-souls-by-paula-morris/', 'https://intothehallofbooks.com/my-thoughts-on-dark-souls-by-paula/']"
The Single Girls ToDo List,"Kelk, Lindsey","[1, ""Rachel Summers""]","['https://www.audiobooksnow.com/audiobook/the-single-girls-to-do-list/6481904/', 'https://www.qbd.com.au/fiction/?author=Lindsey+Kelk&sortby=title-alphabetical', 'http://www.kathryns-inbox.com/2023/09/review-single-girls-to-do-list-by.html', 'https://1girl2manybooks.wordpress.com/2020/09/25/review-the-single-girls-to-do-list-by-lindsey-kelk/', 'https://memcadam.wordpress.com/2013/06/23/book-review-lindsey-kelk-the-single-girls-to-do-list/']"
Youth in Revolt The Journals of Nick Twisp Book One,"Payne, C.D.","[1, ""Sheeni Saunders""]","['https://en.wikipedia.org/wiki/Youth_in_Revolt_(film)', 'https://www.imdb.com/title/tt0403702/', 'https://www.rottentomatoes.com/m/youth_in_revolt', 'https://cinemalogue.com/2010/01/08/youth-in-revolt/', 'https://www.pluggedin.com/movie-reviews/youthinrevolt/']"
The Golden Acorn The Adventures of Jack Brenin 1,"Cooper, Catherine","[1, ""Elen""]","['https://www.goodreads.com/en/book/show/10050155-the-golden-acorn', 'https://reviewsrevues.com/2015/03/08/the-golden-acorn-catherine-cooper-2011-a-kid-lit-review/', 'https://readerslibrary.org/wp-content/uploads/The-Golden-Acorn.pdf', 'https://www.wordsandpics.org/2014/01/the-golden-acorn-hits-primary-schools.html', 'https://www.librarycat.org/lib/cheekylala_kindle/item/127228445']"
It Started With A Kiss,"Dickinson, Miranda","[1, ""Romily Parker""]","['https://www.goodreads.com/book/show/10060196-it-started-with-a-kiss', 'http://chicklitchloe.blogspot.com/2011/11/book-review-it-started-with-kiss-by.html', 'https://www.goodreads.com/book/show/42293057', 'https://handwrittengirl.com/author-interviews/miranda-dickinson', 'https://miranda-dickinson.com/about-me/']"
A Touch of Crimson Renegade Angels 1,"Day, Sylvia","[1, ""Lindsay Gibson""]","['https://www.goodreads.com/book/show/11804076-a-touch-of-crimson', 'https://www.sylviaday.com/books/touch-of-crimson/', 'https://www.goodreads.com/book/show/10063343', 'http://goodbadandunread.com/2011/10/11/review-touch-of-crimson-by-sylvia-day/', 'https://www.barnesandnoble.com/w/a-touch-of-crimson-sylvia-day/1101576246']"
Wayside School Is Falling Down Wayside School 2,"Sachar, Louis","[1, ""Allison""]","['https://en.wikipedia.org/wiki/Wayside_School_Is_Falling_Down', 'https://en.wikipedia.org/wiki/Wayside_School', 'https://writersbeat.com/wayside-school-t64583.html', 'https://www.supersummary.com/wayside-school-is-falling-down/summary/', 'https://www.goodreads.com/book/10065.Wayside_School_Is_Falling_Down/questions']"
The Secret War Jack Blank Adventure 2,"Myklusch, Matt","[0, """"]","['https://www.goodreads.com/book/similar/16266538-the-prisoner-of-cell-25', 'https://s.gr-assets.com/list/show/7626.Great_Books_With_Great_Characters_', 'https://www2.parklanejewelry.com/results/book-search/Download_PDFS/Assignment%20Learning%20To%20Love.pdf', 'https://personalization.mpi-inf.mpg.de/PERSPECTIVES23/GR10k_random/users_profile_item.title_random_sentence_csTrue_nnTrue.csv', 'https://cms.bestfriendspetcare.com/default.aspx/libweb/4040165/TheAccidentalHeroAJackBlankAdventure.pdf']"
The Train,"Simenon, Georges","[0, """"]","['http://www.culturecourt.com/B/Simenon_The_Train.htm', 'https://swiftlytiltingplanet.wordpress.com/2011/12/05/the-train-by-simenon/', 'https://www.goodreads.com/book/show/24357542', 'http://manoverboard-nz.blogspot.com/2011/11/train-by-georges-simenon.html', 'https://jacquiwine.wordpress.com/2023/07/20/the-venice-train-by-georges-simenon-tr-ros-schwartz/']"
The Bachelor of Arts,"Narayan, R.K.","[0, """"]","['https://nveo.org/index.php/journal/article/download/5507/4299/5681', 'http://ijariie.com/AdminUploadPdf/ROLL_OF_WOMENS_IN_R__K__NARAYANS_NOVELS_ijariie10573.pdf', 'http://www.rjelal.com/9.2.21/117-120%20PRITI%20KOOLWAL.pdf', 'https://ijaar.co.in/wp-content/uploads/2021/07/010305.pdf', 'http://www.languageinindia.com/march2019/nesaroevercollege/priyadarshini1.pdf']"
A Long Way Down,"Hornby, Nick","[1, ""Maureen""]","['https://en.wikipedia.org/wiki/A_Long_Way_Down', 'https://toppersjump.wordpress.com/category/characters/', 'https://karissareadsbooks.com/2016/06/10/book-review-a-long-way-down-by-nick-hornby/', 'https://en.wikipedia.org/wiki/A_Long_Way_Down_(film)', 'https://www.supersummary.com/a-long-way-down/summary/']"
Tinker Tailor Soldier Spy George Smiley 5 Karla Trilogy 1,"le Carré, John","[0, """"]","['https://www.imdb.com/title/tt1340800/fullcredits/', 'https://en.wikipedia.org/wiki/Tinker_Tailor_Soldier_Spy', 'https://en.wikipedia.org/wiki/Tinker_Tailor_Soldier_Spy_(film)', 'https://www.tvguide.com/movies/tinker-tailor-soldier-spy/cast/2030019391/', 'https://www.goodreads.com/topic/show/991545-what-did-karla-mean-by-possible-spoilers']"
His Dark Materials Trilogy The Golden Compass  The Subtle Knife  The Amber Spyglass,"Pullman, Philip","[1, ""Lyra Belacqua""]","['https://en.wikipedia.org/wiki/Lyra_Belacqua', 'https://en.wikipedia.org/wiki/List_of_His_Dark_Materials_and_The_Book_of_Dust_characters', 'https://www.sparknotes.com/lit/hisdarkmaterials/characters/', 'https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=3912764&fileOId=3912765', 'https://www.britannica.com/topic/His-Dark-Materials-book-trilogy-by-Pullman']"
The Deep,"Dunmore, Helen","[1, ""Sapphire""]","['https://www.goodreads.com/book/show/1007458.The_Deep', 'https://goodreads.com/book/show/1007458.The_Deep__Ingo___3_', 'https://rhapsodyinbooks.wordpress.com/2009/05/12/review-of-the-deep-by-helen-dunmore-ages-10-and-up/', 'https://www.barnesandnoble.com/w/the-deep-helen-dunmore/1102933925', 'https://en.wikipedia.org/wiki/Ingo_(novel)']"
The Long Ships New York Review Books Classics,"Bengtsson, Frans G.","[1, ""Åsa""]","['https://en.wikipedia.org/wiki/The_Long_Ships', 'https://www.imdb.com/title/tt0057259/fullcredits/', 'https://www.thisismetalblog.com/history/why-frans-g-bengtssons-the-long-ships-is-the-greatest-novel-of-all-time', 'https://en.wikipedia.org/wiki/The_Long_Ships_(film)', 'https://www.bookrags.com/studyguide-the-long-ships/']"
HIVE Higher Institute of Villainous Education HIVE 1,"Walden, Mark","[1, ""Laura""]","['https://escapepod.org/2011/10/02/book-review-h-i-v-e-higher-institute-of-villainous-education-by-mark-walden/', 'https://www.goodreads.com/book/show/19793593', 'https://quippe.livejournal.com/41049.html', 'https://yabookscentral.com/hive-higher-institute-of-villanous-education/', 'https://lucyscolouredpencils.wordpress.com/category/mark-walden/']"
The Crime of Father Amaro,"Queirós, Eça de","[1, ""Amélia""]","['https://en.wikipedia.org/wiki/The_Crime_of_Padre_Amaro_(2002_film)', 'https://www.imdb.com/title/tt0313196/', 'https://www.rottentomatoes.com/m/crime_of_padre_amaro/cast-and-crew', 'https://en.wikipedia.org/wiki/O_Crime_do_Padre_Amaro', 'https://www.reelingreviews.com/thecrimeoffatheramaro.htm']"
Snake Skin Lucy Guardino FBI Thriller 1,"Lyons, C.J.","[1, ""Lucille Teresa Guardino""]","['https://goodreads.com/book/show/10084223.Snake_Skin', 'https://cjlyons.net/lucy-guardino-fbi-thrillers/', 'https://www.goodreads.com/book/show/10084223-snake-skin', 'https://www.barnesandnoble.com/w/snake-skin-c-j-lyons/1118960713', 'https://www.storytel.com/tv/books/snake-skin-a-lucy-guardino-fbi-thriller-808225']"
A Very Special Delivery Tiny Blessings 8,"Goodnight, Linda","[1, ""Molly McCreight""]","['https://www.goodreads.com/book/show/1008859', 'https://www.goodreads.com/list/show/95841._Molly_?page=2', 'https://www.goodreads.com/en/book/show/1008859.A_Very_Special_Delivery', 'https://www.goodreads.com/book/show/1008859.A_Very_Special_Delivery', 'https://www.wilmettelibrary.info/winter-reading-club']"
Mary Queen of Scots Queen Without a Country,"Lasky, Kathryn","[1, ""Mary, Queen of Scots""]","['https://www.goodreads.com/book/show/10089.Mary_Queen_of_Scots', 'https://kathrynlasky.com/blog/post/writing-the-royal-diaries', 'https://www.readinghasruinedmylife.com/post/insert-bagpipes-here-a-review-of-the-royal-diaries-mary-queen-of-scots-queen-without-a-country', 'https://libraryaware.com/32HPK7', 'https://en.wikipedia.org/wiki/The_Royal_Diaries']"
The Lion the Witch and the Wardrobe Chronicles of Narnia 1,"Lewis, C.S.","[1, ""Lucy Pevensie""]","['https://www.sparknotes.com/lit/lion/characters/', 'https://community.narniaweb.com/index.php/community/talk-about-narnia/female-roles-in-narnia/', 'https://foajonesboro.org/wp-content/uploads/2018/01/Character-Descriptions-LWW.doc.pdf', 'http://www.gamuttheatre.org/s/LWW-Character-List.pdf', 'https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe']"
Perelandra The Space Trilogy 2,"Lewis, C.S.","[1, ""The Green Lady""]","['https://steelthistles.blogspot.com/2022/06/the-green-lady-jane-orual-and-other.html', 'https://wm.wts.edu/read/c-s-lewis-on-gender-a-perelandrian-account', 'https://afkimel.wordpress.com/2017/07/05/perelandra-and-the-mystery-of-male-and-female/', 'https://www.litcharts.com/lit/perelandra/characters', 'https://cjshayward.com/unman/']"
Flesh Eaters Dead World 3,"McKinney, Joe","[1, ""Eleanor Norton""]","['https://goodreads.com/book/show/10092502.Flesh_Eaters__Dead_World___3_', 'https://en.wikipedia.org/wiki/Joe_McKinney_(author)', 'https://www.alwaysreading.net/2012/09/', 'https://www.goodreads.com/group/2051-challenge-50-books/comments/7265148-jim?page=12', 'https://guides.hmcpl.org/horror/stoker']"
The Intruders Jake Grafton 2,"Coonts, Stephen","[0, """"]","['https://www.goodreads.com/en/book/show/377414.The_Intruders', 'https://www.goodreads.com/book/similar/23535731-into-the-dark', 'https://www.goodreads.com/book/show/377414.The_Intruders', 'https://stephencoonts.wordpress.com/f-a-q/', 'https://spyguysandgals.com/sgShowChar.aspx?id=518']"
SilverTongued Devil Sabina Kane 4,"Wells, Jaye","[1, ""Sabina Kane""]","['https://www.goodreads.com/book/show/12013806-silver-tongued-devil', 'https://bookdout.wordpress.com/2012/02/20/review-silver-tongued-devil-by-jaye-wells/', 'https://www.powells.com/book/-9780316178433/1-6', 'https://www.goodreads.com/characters/50698-giguhl', 'https://deadbookdarling.com/2012/01/review-silver-tongued-devil-by-jaye-wells.html']"
Chanakyas Chant,"Sanghi, Ashwin","[1, ""Chandini Gupta""]","['http://winnowed.blogspot.com/2012/02/book-review-chanakyas-chant-by-ashwin.html', 'http://tlhjournal.com/uploads/products/11.boyapati-samrajya-lakshmi-article.pdf', 'http://booksrevisit.blogspot.com/2014/06/ChanakyasChantBookReview.html', 'https://www.goodreads.com/work/quotes/14996005-chanakya-s-chant', 'https://musenmotivation.wordpress.com/2011/09/14/chanakya%E2%80%99s-immortal-arthashastra-chanakya%E2%80%99s-chants-by-ashwin-sanghi/']"
Petticoat Ranch Lassoed in Texas 1,"Connealy, Mary","[1, ""Sophie Edwards""]","['https://www.goodreads.com/book/show/8500353-petticoat-ranch', 'https://www.goodreads.com/pt/book/show/100999', 'https://app.thestorygraph.com/book_reviews/f6cf3ea1-1007-48b3-966e-4df25ffb42e0?page=2', 'https://bookhype.com/book/show/915773cb-1038-4f61-b9a3-088b37f5eed2/petticoat-ranch', 'https://www.romance.io/authors/54554cb38c7d2382c5297bdb/mary-connealy']"
White Jazz LA Quartet 4,"Ellroy, James","[0, """"]","['https://en.wikipedia.org/wiki/White_Jazz', 'https://en.wikipedia.org/wiki/L.A._Quartet', 'https://www.goodreads.com/book/show/20877293', 'https://americanpulps.com/james-ellroys-la-quartet/', 'https://www.goodreads.com/book/show/101000']"
The Last Wife of Henry VIII,"Erickson, Carolly","[1, ""Catherine Parr""]","['https://www.goodreads.com/book/show/10105.The_Last_Wife_of_Henry_VIII', 'https://www.historywomanperspective.com/2024/03/the-last-wife-of-henry-viii-by-carolly.html', 'https://en.wikipedia.org/wiki/Catherine_Parr', 'https://consumedbyink.ca/2015/02/02/literary-wives-the-last-wife-of-henry-viii-by-carolly-erickson/', 'https://shivlivesinbooks.wordpress.com/2019/01/13/the-last-wife-of-henry-viii-by-carolly-erickson/']"
Viking Warrior The Strongbow Saga 1,"Roberts, Judson","[0, """"]","['https://www.goodreads.com/book/show/27430513', 'https://en.wikipedia.org/wiki/Viking_Warrior', 'https://www.judsonroberts.com', 'https://www.judsonroberts.com/?page_id=1687', 'https://www.judsonroberts.com/?page_id=51']"
The Autobiography of Henry VIII With Notes by His Fool Will Somers,"George, Margaret","[1, ""Catherine of Aragon""]","['https://greatandnobletasks.com/2024/04/22/henry-viii-in-his-own-words/', 'http://unfortunatelyoh.blogspot.com/2013/03/the-autobiography-of-henry-viii.html', 'https://literal.club/katec/book/margaret-georgethe-autobiography-of-henry-viii-ihygy', 'https://www1604.dailystandard.com/HomePages/uploaded-files/pdf-008/TheAutobiographyOfHenryViii.pdf', 'https://app.thestorygraph.com/book_reviews/8d950b3d-1de6-48e3-b1ec-f87a754d3bd2?page=10']"
Fated Love A PMC Hospital Romance 1,Radclyffe,"[1, ""Honor Blake""]","['https://www.goodreads.com/book/show/116287.Fated_Love', 'https://www.goodreads.com/book/show/3448677-fated-love', 'https://app.thestorygraph.com/book_reviews/84159362-2154-4f72-a6c2-82cbb1c97ba5?page=4', 'https://lesbianaudiobooks.com/romance/fated-love/', 'https://www.barnesandnoble.com/w/fated-love-radclyffe/1101331918']"
The Devil All the Time,"Pollock, Donald Ray","[0, """"]","['https://www.imdb.com/title/tt7395114/fullcredits/', 'https://en.wikipedia.org/wiki/The_Devil_All_the_Time_(film)', 'https://www.refinery29.com/en-us/2020/09/10023384/devil-all-the-time-characters-cast-connections', 'https://www.imdb.com/title/tt7395114/', 'https://screenrant.com/devil-all-the-time-characters-ranked-from-least-to-most-tragic/']"
