title,author,answer,citation
Lassiter Black Dagger Brotherhood 21,"Ward, J.R.","[1, ""Rahvyn""]","['https://corinawrites.com/2022/06/21/the-black-dagger-brotherhood-character-guide/', 'https://www.goodreads.com/book/show/62344735-lassiter', 'http://www.aboutthatstory.com/2023/04/book-review-lassiter-black-dagger.html', 'https://www.escapistbookblog.com/?p=71074', 'http://www.thcreviews.com/cgi-bin/vts/book_review.html?book_review_id=1406']"
Do Androids Dream of Electric Sheep Blade Runner 1,"Dick, Philip K.","[1, ""Iran Deckard""]","['https://www.sparknotes.com/lit/do-androids-dream-of-electric-sheep/characters/', 'https://www.litcharts.com/lit/do-androids-dream-of-electric-sheep/characters', 'https://www.coursehero.com/lit/Do-Androids-Dream-of-Electric-Sheep/characters/', 'https://groups.google.com/g/rec.arts.mystery/c/JpLYXszYyRs', 'https://gradesfixer.com/free-essay-examples/do-females-dream-of-a-respectable-representation/']"
The Virgin Cure,"McKay, Ami","[1, ""Moth""]","['https://www.goodreads.com/book/show/6131786-the-virgin-cure', 'http://www.monniblog.com/2011/10/the-virgin-cure-by-ami-mckay/', 'https://reviewsrevues.com/2015/05/12/the-virgin-cure-ami-mckay-2012/', 'http://mcmiller.ca/writing/article/the-peak-the-virgin-cure-book-review/', 'https://www.kirkusreviews.com/book-reviews/ami-mckay/virgin-cure/']"
When My Name Was Keoko,"Park, Linda Sue","[1, ""Sun-hee (Keoko)""]","['https://en.wikipedia.org/wiki/When_My_Name_Was_Keoko', 'https://www.supersummary.com/when-my-name-was-keoko/summary/', 'https://www.goodreads.com/book/show/613218.When_My_Name_Was_Keoko', 'https://quizlet.com/145500715/when-my-name-was-keoko-characters-terms-flash-cards/', 'https://www.blinkist.com/en/books/when-my-name-was-keoko-en']"
An American Beauty,"Abe, Shana","[1, ""Arabella Huntington""]","['https://www.goodreads.com/book/show/61341955-an-american-beauty', 'https://www.supersummary.com/an-american-beauty/major-character-analysis/', 'https://www.historywomanperspective.com/2025/03/an-american-beauty-novel-of-gilded-age.html', 'https://historicalnovelsociety.org/reviews/an-american-beauty/', 'https://aardvarkbookclub.com/an-american-beauty/']"
Blue Moon The Immortals 2,"Noel, Alyson","[1, ""Ever""]","['https://www.goodreads.com/book/show/6818083', 'http://adreamofbooks.blogspot.com/2011/03/review-blue-moon-immortals-2-alyson.html', 'http://www.idsoratherbereading.com/2010/06/book-review-blue-moon-immortals-2-by.html', 'https://yabookscentral.com/blue-moonthe-immortals/reviews/ya-books-blog/iLive,%20iLaugh,%20iLove%20Books/top-reviewers/iLive,%20iLaugh,%20iLove%20Books', 'https://recaptains.co.uk/2022/11/evermore-by-alyson-noel/']"
Hittite Warrior,"Williamson, Joanne","[0, """"]","['https://goodreads.com/book/show/613497', 'https://thefamilybooklist.com/2017/02/02/hittite-warrior/', 'https://www.goodreads.com/book/show/29340817-hittite-warior', 'https://aberdeen92.wordpress.com/2015/02/06/fireside-fridays-hittite-warrior/', 'http://librisnotes.blogspot.com/2022/04/hittite-warrior-by-joanne-williamson.html']"
The Traveling Vampire Show,"Laymon, Richard","[1, ""Slim""]","['https://cultsploitation.com/book-review-the-traveling-vampire-show-by-richard-laymon/', 'https://assets.thestorygraph.com/book_reviews/33788283-bb54-40af-96ef-3f39974c7f1f', 'https://www.goodreads.com/book/show/613605.The_Traveling_Vampire_Show', 'https://www.instagram.com/traveling_vampire_show/', 'https://thegothicwanderer.wordpress.com/tag/the-traveling-vampire-show/']"
Fire Graceling Realm 2,"Cashore, Kristin","[1, ""Fire""]","['https://diamondsinthelibrary.com/fire-graceling-realm-2-by-kristin-cashore/', 'https://www.goodreads.com/book/show/6137154-fire', 'https://thelitbitch.com/2012/07/04/review-fire-graceling-realm-2-by-kristin-cashore/', 'https://amwillisjournal.wordpress.com/2021/01/20/the-graceling-realm-series-books-1-2-companion-in-review/', 'https://willreadforbooze.com/2020/04/12/drunk-review-fire-by-kristin-cashore-graceling-realm-2/']"
Al Capone Shines My Shoes Tales from Alcatraz 2,"Choldenko, Gennifer","[0, """"]","['https://www.supersummary.com/al-capone-shines-my-shoes/summary/', 'http://betweenthesepages.com/2011/04/29/al-capone-shines-my-shoes/', 'https://yalitreader.wordpress.com/2022/01/28/al-capone-shines-my-shoes-by-gennifer-choldenko/', 'https://quizlet.com/138519380/al-capone-shines-my-shoes-characters-flash-cards/', 'https://www.goodreads.com/book/isbn/9780142417188']"
The Moonstone,"Collins, Wilkie","[1, ""Rachel Verinder""]","['https://www.sparknotes.com/lit/moonstone/characters/', 'https://www.litcharts.com/lit/the-moonstone/characters', 'http://thelittlewhiteattic.blogspot.com/2015/03/the-female-characters-in-moonstone.html', 'https://www.superprof.co.uk/resources/academic/english-resources/english-language-resources/a-level-english/the-moonstone-characters.html', 'https://en.wikipedia.org/wiki/The_Moonstone']"
Run on Red,"Ihli, Noelle W.","[1, ""Laura""]","['https://www.goodreads.com/book/show/61381555-run-on-red', 'https://parents.simonandschuster.com/9781668141472', 'https://www.penguinrandomhouse.com/books/808480/run-on-red-by-noelle-west-ihli/', 'https://celinelingg.wordpress.com/2025/01/31/book-review-run-on-red-by-noelle-w-ihli/', 'https://get.thrillingreads.com/noelle-west-ihli/']"
The Annihilator Dark Verse 5,RuNyx,"[1, ""Lyla (Luna)""]","['https://www.goodreads.com/book/show/61383364', 'https://frenchgirlslibrary.wordpress.com/2022/07/03/arc-review-the-annihilator-by-runyx/', 'https://www.goodreads.com/book/show/54683187-the-annihilator', 'https://www.instagram.com/p/DGVuqingXk4/', 'https://literal.club/book/runyx-untitled-xkdg5']"
Scarlett Fever Scarlett 2,"Johnson, Maureen","[1, ""Scarlett Martin""]","['https://www.goodreads.com/book/show/25496812', 'https://app.thestorygraph.com/book_reviews/b470ab3e-50b7-4095-aff9-1c15a836f1c7?page=15', 'https://app.thestorygraph.com/book_reviews/372422e9-1906-48dc-a312-4444d4be7061?page=14', 'https://www.goodreads.com/book/show/8271330', 'https://www.librarycat.org/lib/Kaethe/item/30867007']"
Chlorine,"Song, Jade","[1, ""Ren Yu""]","['http://strangehorizons.com/wordpress/non-fiction/chlorine-by-jade-song/', 'https://lesbrary.com/chlorine-by-jade-song/', 'https://www.pleasereadittome.com/home/chlorine-jade-song', 'https://www.goodreads.com/book/show/61387386-chlorine', 'https://mastersreview.com/book-review-chlorine-by-jade-song/']"
The Search for the Red Dragon The Chronicles of the Imaginarium Geographica 2,"Owen, James A.","[0, """"]","['http://www.teenink.com/reviews/book_reviews/article/820371/The-Search-For-The-Red-Dragon-by-James-A-Owen/', 'https://tolkiengateway.net/wiki/The_Search_for_the_Red_Dragon', 'https://www.goodreads.com/book/show/9969726', 'https://thoughtsstainedwithink.com/the-search-for-the-red-dragon/', 'https://assets.thestorygraph.com/book_reviews/b4401992-4836-4af1-9859-fc24c4bfb1de']"
Raven Stole the Moon,"Stein, Garth","[1, ""Jenna Rosen""]","['https://garthstein.com/works/raven-stole-the-moon/', 'https://www.goodreads.com/book/show/396715', 'https://garthstein.com/works/raven-stole-the-moon/reviews/', 'https://app.thestorygraph.com/book_reviews/065e0ec8-f774-4641-9803-e980c610151a?page=2', 'https://www.goodreads.com/book/show/6903471']"
The King Beyond the Gate The Drenai Saga 2,"Gemmell, David","[1, ""Rayvan""]","['https://en.wikipedia.org/wiki/The_King_Beyond_the_Gate', 'https://www.goodreads.com/topic/show/166890-which-female-character-from-any-of-dg-books-main-or-small-part-would-y', 'https://www.goodreads.com/book/show/613991.The_King_Beyond_the_Gate', 'https://assets.thestorygraph.com/book_reviews/36b73c0b-84c1-42aa-9dcb-3ac01fd92a58', 'https://newbookrecommendation.com/summary-of-the-king-beyond-the-gate-by-david-gemmell/']"
Holiday Romance Catherine Walsh Christmas Books 1,"Walsh, Catherine","[1, ""Molly""]","['https://www.goodreads.com/topic/show/22747451-duos-or-trios-2024', 'https://goodreads.com/book/show/61401417.Holiday_Romance', 'https://momwithareadingproblem.com/?p=15825', 'https://youngcreativepress.com/2022/12/16/the-12-books-of-christmas-holiday-romance-by-catherine-walsh/', 'https://bookdustmagic.com/tag/catherine-walsh/']"
Close Enough To Kill Griffin Powell 6,"Barton, Beverly","[1, ""Bernie Granger""]","['https://www.goodreads.com/book/show/22741666', 'https://www.romance.io/topics/best/behind-doors,military/6', 'https://www.romance.io/topics/most/behind-doors,military/6', 'https://www.goodreads.com/book/show/614574.Close_Enough_To_Kill', 'https://www.fantasticfiction.com/b/beverly-barton/']"
Mothers Instinct,"Abel, Barbara","[1, ""Laetitia""]","['https://wordswithoutborders.org/book-reviews/the-stories-we-tell-ourselves-about-motherhood-on-mothers-instinct-by-barbara-abel-jenessa-abrams/', 'https://www.goodreads.com/book/show/61467934-mothers-instinct', 'https://www.marilynsmysteryreads.com/2023/06/30/mothers-instinct-by-barbara-abel-book-review/', 'https://www.harpercollins.com/products/mothers-instinct-barbara-abel', 'https://www.netgalley.com/book/277957/reviews?direction=desc&page=7&=r.updated']"
The Shadow of the Bear A Fairy Tale Retold 1,"Doman, Regina","[1, ""Blanche Brier""]","['https://www.goodreads.com/book/show/6146985-the-shadow-of-the-bear', 'https://www.tumblarhouse.com/products/the-shadow-of-the-bear-a-fairy-tale-retold-regina-doman', 'https://catholicnerdwriter.blogspot.com/2010/07/book-review-shadow-of-bear.html', 'https://reginadoman.substack.com/p/audio-drama-the-shadow-of-the-bear-d54', 'https://www.goodreads.com/en/book/show/6146985-the-shadow-of-the-bear']"
The Tycoons Rebel Bride The Anetakis Tycoons 2,"Banks, Maya","[1, ""Isabella Caplan""]","['https://books.apple.com/us/book/the-tycoons-rebel-bride/id771611645', 'https://books.apple.com/de/book/the-tycoons-rebel-bride/id771611645', 'https://www.gandhi.com.mx/the-complete-anetakis-tycoons-trilogy-9781488053351/p', 'https://imgbin.com/png/c76rzpci/the-tycoons-rebel-bride-highlander-most-wanted-the-tycoons-pregnant-mistress-the-tycoons-secret-affair-sweet-persuasion-png', 'http://drunkwritertalk.blogspot.com/2009/04/smart-bitches-stop-in-for-chat.html']"
Blood Lines World of the Lupi 3,"Wilks, Eileen","[1, ""Lily Yu""]","['https://www.goodreads.com/en/book/show/614780.Blood_Lines', 'https://angelsbooknook.com/2023/08/17/graphic-audio-review-blood-lines-world-of-the-lupi-3-by-eileen-wilks/', 'https://app.thestorygraph.com/book_reviews/c38ed7b0-755f-4a0c-bd15-9679ec1ea09d?page=4', 'https://www.romance.io/topics/best/fantasy,east-asian-mc/7', 'https://angelsbooknook.com/2023/07/20/graphic-audio-review-tempting-danger-world-of-the-lupi-1-by-eileen-wilks/']"
A Court of Thorns and Roses eBook Bundle A 5 Book Bundle,"Maas, Sarah J.","[1, ""Feyre Archeron""]","['https://www.sparknotes.com/lit/a-court-of-thorns-and-roses/characters/', 'https://crewfiction.com/blog/acotar-characters', 'https://www.maudesbookclub.com/book-feed/a-court-of-thorns-and-roses-character-list-breakdown', 'https://www.estapinto.com/books/a-court-of-thorns-roses-characters-spicy', 'https://screenrant.com/sarah-j-maas-book-heroines-ranked/']"
Beloved,"Morrison, Toni","[1, ""Sethe""]","['https://www.sparknotes.com/lit/beloved/characters/', 'https://www.litcharts.com/lit/beloved/characters', 'https://repository.stcloudstate.edu/cgi/viewcontent.cgi?article=1217&context=engl_etds', 'https://www.collegetransitions.com/blog/characters-in-beloved-toni-morrison/', 'https://en.wikipedia.org/wiki/Beloved_(novel)']"
Cry the Beloved Country,"Paton, Alan","[0, """"]","['https://www.sparknotes.com/lit/cry/characters/', 'https://www.litcharts.com/lit/cry-the-beloved-country/characters', 'https://study.com/academy/lesson/gender-roles-in-cry-the-beloved-country.html', 'http://crytheblelovedcountry.weebly.com/characters.html', 'https://www.shmoop.com/study-guides/cry-the-beloved-country/absaloms-girl.html']"
A Kingdom of Blood and Betrayal Stars and Shadows 2,"Renee, Holly","[1, ""Adara""]","['https://www.goodreads.com/book/show/63856467', 'https://www.goodreads.com/book/show/147976509', 'https://www.romance.io/authors/55e14adc35a5fb65f8877a05/holly-renee/series', 'https://www.romance.io/authors/55e14adc35a5fb65f8877a05/holly-renee', 'https://kaydanielsromance.wordpress.com/2022/10/25/']"
Dying to Meet You 43 Old Cemetery Road 1,"Klise, Kate","[1, ""Olive C. Spence""]","['https://www.goodreads.com/book/show/6150990-dying-to-meet-you', 'https://www.kirkusreviews.com/book-reviews/kate-klise/dying-to-meet-you-2/', 'http://www.publishersweekly.com/9780152057275', 'https://www.nyjournalofbooks.com/book-review/dying-meet-you-43-old-cemetery-road', 'https://www.kateklise.com/books.html']"
The Four Corners of the Sky,"Malone, Michael","[1, ""Annie Peregrine Goode""]","['https://diaryofaneccentric.wordpress.com/2009/05/13/the-four-corners-of-the-sky-by-michael-malone/', 'https://www.goodreads.com/book/show/18115419', 'https://mountainx.com/arts/art-news/book_report_the_four_corners_of_the_sky/', 'https://arttaylorwriter.com/2009/05/04/michael-malone-returns-with-grand-new-novel-the-four-corners-of-the-sky/', 'https://www.kirkusreviews.com/book-reviews/michael-malone/the-four-corners-of-the-sky-2/']"
Mr Poppers Penguins,"Atwater, Richard","[1, ""Mrs. Popper""]","['https://www.imdb.com/title/tt1396218/fullcredits/', ""https://en.wikipedia.org/wiki/Mr._Popper's_Penguins_(film)"", 'https://www.imdb.com/title/tt1396218/', 'https://www.gradesaver.com/mr-poppers-penguins/study-guide/character-list', ""https://en.wikipedia.org/wiki/Mr._Popper's_Penguins""]"
Reservation Blues,"Alexie, Sherman","[0, """"]","['https://www.litcharts.com/lit/reservation-blues/characters', 'https://www.coursehero.com/lit/Reservation-Blues/characters/', 'https://www.litcharts.com/lit/reservation-blues/characters/betty', 'https://www.gradesaver.com/reservation-blues/study-guide/character-list', 'https://journals.uwyo.edu/index.php/workingclassstudies/article/download/6143/5383/8581']"
Halo First Strike,"Nylund, Eric S.","[0, """"]","['https://www.halowaypoint.com/news/womens-history-month-2024', 'https://www.halopedia.org/Amy', 'http://carnage.bungie.org/haloforum/halo.forum.pl?read=1215557', 'http://carnage.bungie.org/haloforum/halo.forum.pl?read=1215546', 'https://en.wikipedia.org/wiki/List_of_Halo_characters']"
Fly Away Peter,"Malouf, David","[0, """"]","['https://www.litcharts.com/lit/fly-away-peter/characters', 'https://en.wikipedia.org/wiki/Fly_Away_Peter', 'https://www.litcharts.com/lit/fly-away-peter/characters/connie', 'https://www.gradesaver.com/fly-away-peter/study-guide/character-list', 'https://cdn.vaultofthewace.xyz/english-lit/book_notes/LitCharts%20-%20Textual%20Analyses/F/Fly-Away-Peter-LitChart.pdf']"
On a Snowy Night The Christmas Basket  The Snow Bride,"Macomber, Debbie","[1, ""Jenna Campbell""]","['https://debbiemacomber.com/books/the-snow-bride', 'https://allaboutromance.com/book-review/the-snow-bride/', 'https://www.goodreads.com/book/show/18889776-the-snow-bride', 'https://www.harlequin.com/shop/books/9781488095856_the-snow-bride.html', 'https://www.goodreads.com/book/show/61616143']"
Pilates Wife,"May, Antoinette","[1, ""Claudia Procula""]","['https://historicalnovelsociety.org/reviews/pilates-wife/', 'https://www.pilateswife.com/interview.html', 'https://www.kirkusreviews.com/book-reviews/antoinette-may/pilates-wife/', 'https://www.bookbrowse.com/bb_briefs/detail/index.cfm/ezine_preview_number/1197/pilates-wife', 'https://religionnews.com/2009/04/02/in-pilates-wife-some-see-an-unlikely-saint2/']"
Drive Me Crazy The Romantic Comedies,"Downing, Erin Soderberg","[1, ""Kate""]","['https://secure.paperbackswap.com/Drive-Crazy-Romantic-Erin-Downing/book/1416974849/', 'https://secure.paperbackswap.com/book/browser.php?link=true&s_type=b&ti=Comedies&b%5B%5D=Paperback&l=10', 'https://www.goodreads.com/book/show/6162873-drive-me-crazy', 'https://www.simonandschuster.com/books/Drive-Me-Crazy/Erin-Downing/The-Romantic-Comedies/9781416974840', 'https://www.bookseriesinorder.com/debbie-rigaud/']"
The Border Trilogy All the Pretty Horses The Crossing Cities of the Plain,"McCarthy, Cormac","[1, ""Magdalena""]","['https://www.supersummary.com/cities-of-the-plain/major-character-analysis/', 'https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=4133&context=etd', 'https://en.wikipedia.org/wiki/Cities_of_the_Plain_(novel)', 'https://www.slideshare.net/slideshow/all-the-pretty-mexican-girls-whiteness-and-racial-desire-in-cormac-mccarthy-s-all-the-pretty-horses-and-cities-of-the-plain/259643792', 'https://lankfordpress.wordpress.com/2020/01/18/cities-of-the-plain/']"
A Fearsome Moonlight Black,"Putnam, David","[1, ""Beth""]","['https://thebookdecoder.com/2022/10/19/a-fearsome-moonlight-black-by-david-putnam/', 'http://www.shetreadssoftly.com/2022/10/a-fearsome-moonlight-black.html', 'https://www.barnesandnoble.com/w/a-fearsome-moonlight-black-david-putnam/1142016806?bvstate=pg%3A2%2Fct%3Ar', 'https://www.netgalley.com/book/262624/reviews?direction=desc&page=3&=r.updated', 'https://www.netgalley.co.uk/book/262624/reviews?=r.updated&direction=desc&page=2']"
The Mysterious Benedict Society and the Prisoners Dilemma The Mysterious Benedict Society 3,"Stewart, Trenton Lee","[1, ""Constance Contraire""]","['https://www.goodreads.com/book/show/57470887', 'https://www.librarycat.org/lib/HTLSLibrary/item/211448082', 'https://www.christianbook.com/the-mysterious-benedict-society/trenton-stewart/9780316003957/pd/003957', 'https://booksrun.com/9780316045506-the-mysterious-benedict-society-and-the-prisoners-dilemma-reprint-edition', 'https://en.wikipedia.org/wiki/The_Mysterious_Benedict_Society_(book)']"
The Witches Trilogy Discworld 3612,"Pratchett, Terry","[1, ""Granny Weatherwax""]","['https://nsfordwriter.com/the-witches-trilogy-equal-rites-wyrd-sisters-witches-abroad-terry-pratchett/', 'https://www.goodreads.com/book/show/61657.The_Witches_Trilogy', 'https://kddidit.com/2016/03/18/book-review-sir-terry-pratchetts-wyrd-sisters/', 'https://app.thestorygraph.com/book_reviews/bae5b411-5c79-4672-800a-cc9473db4855', 'https://kddidit.com/2015/06/28/book-review-sir-terry-pratchetts-equal-rites/']"
Kidnap on the Moors DI Joanna Piercy 4,"Masters, Priscilla","[1, ""Joanna Piercy""]","['https://www.goodreads.com/series/87361-di-joanna-piercy', 'https://www.bookseries.org/authors/priscilla-masters/', 'https://www.target.com/p/kidnap-on-the-moors-a-gripping-murder-mystery-detective-joanna-piercy-mysteries-by-priscilla-masters-paperback/-/A-94140963', 'https://business.walmart.com/ip/Detective-Joanna-Piercy-Mysteries-KIDNAP-ON-THE-MOORS-a-gripping-murder-mystery-Paperback-9781804054697/1064597343', 'https://www.bookseriesinorder.com/joanna-piercy/']"
Independence Wagons West 1,"Ross, Dana Fuller","[1, ""Claudia Humphries""]","['https://www.goodreads.com/book/show/616591', 'https://www.goodreads.com/characters/6163-chet-harris', 'https://www.instagram.com/evesbookdepot/p/DGNmQdCsqex/?api=%E6%BE%B3%E9%97%A8pg%E7%94%B5%E5%AD%90%E7%BD%91%E7%AB%99%E3%80%90%E9%97%AE%EF%BC%9AWS99.NET%E3%80%91.nsbh', 'https://www.abebooks.com/9780553121452/Independence-Dana-Fuller-Ross-0553121456/plp', 'https://www.pioneerbook.com/quicksearch/all/5?page=466']"
Contact,"Sagan, Carl","[1, ""Eleanor Arroway""]","['https://en.wikipedia.org/wiki/Contact_(novel)', 'https://purpleprosearchive.wordpress.com/2011/04/26/women-of-sf-eleanor-ellie-arroway-from-carl-sagans-contact/', 'https://www.imdb.com/title/tt0118884/', 'https://www.writersdigest.com/write-better-fiction/how-to-write-scientific-fiction-analyzing-carl-sagans-contact', 'https://www.youtube.com/watch?v=D0dYooz74fs']"
The Diamond Throne The Elenium 1,"Eddings, David","[1, ""Sephrenia""]","['https://en.wikipedia.org/wiki/The_Elenium', 'https://www.goodreads.com/book/show/616678.The_Diamond_Throne', 'https://www.goodreads.com/characters/1057680-aphrael-flute', 'https://forums.spacebattles.com/threads/how-would-you-cast-david-eddings-elenium.228444/', 'https://www.historyandheadlines.com/list-of-the-elenium-and-the-tamuli-characters/']"
